,component,explained_variance,cumulative
0,1,0.2933411278484597,0.2933411278484597
1,2,0.2702722283470002,0.5636133561954599
2,3,0.16266882245588954,0.7262821786513495
3,4,0.07744021232101102,0.8037223909723605
4,5,0.06607623015311548,0.869798621125476
5,6,0.042675920769759505,0.9124745418952355
6,7,0.02488015636454519,0.9373546982597807
7,8,0.01670591758427998,0.9540606158440607
8,9,0.013819056158695511,0.9678796720027562
9,10,0.009035707260040103,0.9769153792627963
10,11,0.007649925605758282,0.9845653048685545
11,12,0.004934850486028974,0.9895001553545835
12,13,0.0033779399562214457,0.992878095310805
13,14,0.002080281203312823,0.9949583765141178
14,15,0.0016029299202665926,0.9965613064343843
15,16,0.001026459425651794,0.9975877658600362
16,17,0.0006609662384532786,0.9982487320984894
17,18,0.0005758769398168305,0.9988246090383063
18,19,0.0005089590230606567,0.999333568061367
19,20,0.0003583698694444387,0.9996919379308115
20,21,0.00014389123681746068,0.9998358291676289
21,22,7.493730838437642e-05,0.9999107664760133
22,23,3.936165920804012e-05,0.9999501281352213
23,24,2.780986719139326e-05,0.9999779380024127
24,25,1.1713863308003162e-05,0.9999896518657208
25,26,6.006705481835986e-06,0.9999956585712025
26,27,4.3414287974349555e-06,1.0
