,feature,importance
0,age_65_plus,0.26234566325650344
1,age_u15,0.23695263307447156
2,pop_total,0.18116119757642796
3,viirs_mean_std,0.0836363955985935
4,viirs_mean_mean,0.0774355683017997
5,household_size,0.06199936333739292
6,tri_mean,0.019969672833256458
7,NDBI_slope,0.008435063865788888
8,MNDWI_mean,0.00689648996607694
9,NDBI_std,0.005316270903178727
10,NDVI_seasonal_amp,0.003945835117136422
11,elevation_std,0.003801764220779853
12,dw_built_frac,0.0030839625093704785
13,B8_mean,0.002619242869070524
14,dw_crops_frac,0.0025420209041245824
15,osm_built_area,0.002458516344954127
16,S2_NDBI_contrast_std,0.002362387549055504
17,osm_built_ratio,0.0022949283218693583
18,S2_NDBI_entropy_std,0.002157964314692748
19,NDBI_mean,0.002144513173882761
20,NDBI_seasonal_amp,0.0018788341719695764
21,MNDWI_std,0.0018651232462042252
22,MNDWI_slope,0.0018542918277795674
23,elevation_mean,0.0018227339549052918
24,dw_water_frac,0.0017487237031932688
25,dw_shrub_and_scrub_frac,0.0016937399620738614
26,B11_mean,0.0016225780456724237
27,B4_std,0.0016220400812560533
28,dw_grass_frac,0.0015853596604256538
29,B11_std,0.001491017387130764
30,S2_NDBI_contrast_mean,0.0014255923440525354
31,dw_bare_frac,0.0013783239528589184
32,dw_trees_frac,0.001270030425192311
33,B8_std,0.001118539256640978
34,S2_NDBI_entropy_mean,0.0010675303701794955
35,B4_mean,0.0010073426681630614
36,NDVI_mean,0.0008197262952204892
37,dw_flooded_vegetation_frac,0.0007673733588495431
38,MNDWI_seasonal_amp,0.0007603171878361143
39,NDVI_slope,0.00060530416626444
40,viirs_mean_slope,0.0005042377123315896
41,NDVI_std,0.0002699108037407295
42,slope_mean,0.00026187537963241677
43,aspect_sin_mean,0.0
44,slope_std,0.0
45,aspect_cos_mean,0.0
