,pop_total,pop_male,pop_female,households_total,age_u15,age_15_64,age_65_plus,age_75_plus
B2,-0.023673034927730097,-0.023285102617729335,-0.02419082418393525,-0.0299591141737365,-0.023498403604092034,-0.02619339641626113,-0.02123672773817229,-0.019378573436730398
B3,-0.02665770333734286,-0.026271090752166118,-0.02720565674743954,-0.03401819143010655,-0.02659358898732217,-0.029564442944968905,-0.02390981145615094,-0.02175286873048314
B4,-0.028647108342498548,-0.028092390844305006,-0.029321723033130152,-0.03600580732190643,-0.027964912130777564,-0.0314185216558191,-0.02578806405106693,-0.023666517460554405
B8,-0.025862235776853416,-0.026919156640869475,-0.02544164274383334,-0.03869480271709265,-0.03096546723265792,-0.031556683870973753,-0.021988768466698946,-0.017877802339265007
B11,-0.04119115410018514,-0.040160462701254715,-0.04212637182547597,-0.05109321956720013,-0.03524054794819035,-0.042120643871654935,-0.036938063443693235,-0.03424266471483871
NDVI,0.0067744058057791256,0.003899207084799377,0.008846011587950023,-0.0028950497576271926,-0.0013859049192342175,0.0030475163092942687,0.008849360083535693,0.012388159779331071
NDBI,-0.0054247379116258605,-0.002717979746409909,-0.007261462775452384,0.0023578884913255447,0.005099634916095446,-0.00031778356916404297,-0.007182100748440059,-0.01036789820606776
MNDWI,0.0033964968155059667,0.003463881414667376,0.0032324530524395806,0.006006912544392082,0.0005539253898736933,0.0020503656806980103,0.0025483587095948743,0.001974408718306744
viirs_mean,0.1202239336474351,0.11762115360896586,0.12112944029733402,0.1683002853405637,0.11014655341972626,0.13136576918424267,0.05693813460834071,0.04688758782016851
S2_NDBI_contrast,-0.05614159109761109,-0.05776234211908585,-0.05497926557161594,-0.018428140589878468,-0.027461778154859333,-0.03959107424425754,-0.11326742974820458,-0.12119686638981181
S2_NDBI_entropy,0.08627663223183221,0.08690417082714176,0.08527511359474912,0.06793274663415474,0.06109065251496119,0.07404677343717075,0.10543876036847606,0.10821136000668545
S2_NDBI_homogeneity,0.043353015810457446,0.04390885328628637,0.042974928342058454,0.01836019119408139,0.02254677186888109,0.03173686414293644,0.08216708203308616,0.08637854433892807
dw_water_frac,-0.01073371630959183,-0.010379179613161772,-0.011130395199589499,-0.020135179025409497,-0.024301946285380786,-0.01619034405085747,0.007228532986716103,0.012096793061470159
dw_trees_frac,-0.10039761660104334,-0.09627101523451963,-0.10142858255564423,-0.11576044681096956,-0.10602559078551105,-0.10895145850723888,-0.014507050632680664,0.00029213519593544203
dw_grass_frac,-0.15187280171133918,-0.14728407316792422,-0.154333951231285,-0.1991606927074739,-0.1430307764500398,-0.15644349495331086,-0.09573142906648179,-0.08600271844670783
dw_flooded_vegetation_frac,-0.11007461412725775,-0.10859414819356437,-0.1108339868124427,-0.14820961056859644,-0.11646507591975337,-0.11839872254388449,-0.07098705311925792,-0.06386493259361989
dw_crops_frac,-0.13323992334231852,-0.13171481251928488,-0.13365863383659266,-0.17901038441687886,-0.13230306207795944,-0.14060183218052782,-0.09977038137716303,-0.09325631478081563
dw_shrub_and_scrub_frac,-0.1676343127162362,-0.16145282329748215,-0.1700870571252424,-0.19957831742389984,-0.14457039524424603,-0.16528306339612428,-0.08947847343646582,-0.0774566548125528
dw_built_frac,0.17894165099863746,0.17350907406785687,0.18040198402617036,0.22045041642928745,0.1758379475674276,0.18654049473660886,0.08001541476336922,0.06283731086294138
dw_bare_frac,-0.007245946679855731,-0.0038072491811507038,-0.008333112128406935,-0.0031825694301467785,0.008915280402452617,0.009611509253898353,-0.0142491232893528,-0.016169178929612296
dw_snow_and_ice_frac,-0.02106106845727329,-0.02014816906446777,-0.021773098943979743,-0.04060066977557324,-0.021067821206344275,-0.02230830996252224,-0.010809915735106767,-0.00716658702330323
osm_built_area,0.5803179672505981,0.5834121596643954,0.5756911810032871,0.5711744157223424,0.5044811239529491,0.5517614299504929,0.6113865774640702,0.6174199491994632
osm_building_count,0.5992536689858148,0.59283017814778,0.6020275579787334,0.5803566508933283,0.5163395375729095,0.5613590385436755,0.6348819706201503,0.6353103950737671
osm_built_ratio,0.15616131622519816,0.15111790060561064,0.1581948230372364,0.20491704225626042,0.14072942670316274,0.1560076779771887,0.09829436591362936,0.0937973460185496
